诗编号,作者,卷编号,篇名,题材特征,末句韵部
12127,贾至,卷235_41,岳阳楼重宴别王八员外贬长沙,1000301,16
12128,钱起,卷236_1,紫参歌,7501305,23
12129,钱起,卷236_2,玛瑙杯歌,1311202,3
12130,钱起,卷236_3,锄药咏,2210104,3
12131,钱起,卷236_4,病鹤篇,23403,15
12132,钱起,卷236_5,片玉篇,1114222,3
12133,钱起,卷236_6,画鹤篇（省中作）,4512131,4
12134,钱起,卷236_7,秋霖曲,6420120,3
12135,钱起,卷236_8,白石枕,1100111,33
12136,钱起,卷236_9,赋得青城山歌，送杨、杜二郎中赴蜀军,1349254,3
12137,钱起,卷236_10,送李大夫赴广州,2047252,65
12138,钱起,卷236_11,送崔校书从军,2611102,25
12139,钱起,卷236_12,送张将军征西（一作西征）,3357131,4
12140,钱起,卷236_13,送修武元少府,1222233,15
12141,钱起,卷236_14,送崔十三东游,2364121,101
12142,钱起,卷236_15,送邬三落第还乡,3533323,3
12143,钱起,卷236_16,送马明府赴江陵,423303,14
12144,钱起,卷236_17,送毕侍御谪居,1321414,10
12145,钱起,卷236_18,送褚大落第东归,1433335,4
12146,钱起,卷236_19,送傅管记赴蜀军,3213222,12
12147,钱起,卷236_20,送张少府,231401,33
12148,钱起,卷236_21,行路难,1101110,0
12149,钱起,卷236_22,卢龙塞行送韦掌记,2125122,15
12150,钱起,卷236_23,效古秋夜长,502123,4
12151,钱起,卷236_24,卧病，李员外题扉而去,2120300,26
12152,钱起,卷236_25,酬王维春夜竹亭赠别,202212,42
12153,钱起,卷236_26,山中寄时校书,2221203,90
12154,钱起,卷236_27,送李四擢第归觐省,4351111,48
12155,钱起,卷236_28,过曹钧隐居,4200101,10
12156,钱起,卷236_29,哭曹钧,2131202,4
12157,钱起,卷236_30,东阳郡斋中诣南山招韦十（一作东阳郡斋书事）,23111,33
12158,钱起,卷236_31,清泥驿迎献王侍御,1200011,21
12159,钱起,卷236_32,沭阳古渡作,10102,0
12160,钱起,卷236_33,卧疾，答刘道士,1200111,22
12161,钱起,卷236_34,梦寻西山准上人,313222,33
12162,钱起,卷236_35,长安旅宿,1313031,94
12163,钱起,卷236_36,过桐柏山,1202202,45
12164,钱起,卷236_37,李士曹厅对雨,411111,98
12165,钱起,卷236_38,登胜果寺南楼，雨中望严协律,1112212,99
12166,钱起,卷236_39,冬夜题旅馆,110100,64
12167,钱起,卷236_40,自终南山晚归,1001204,10
12168,钱起,卷236_41,早渡伊川见旧邻作,132304,105
12169,钱起,卷236_42,夕发箭场岩下作,112221,94
12170,钱起,卷236_43,同李五夕次香山精舍访宪上人,1112323,33
12171,钱起,卷236_44,雨中望海上，怀郁林观中道侣,122211,64
12172,钱起,卷236_45,广德初銮驾出关后登高愁望二首（1）,117231,33
12173,钱起,卷236_45,广德初銮驾出关后登高愁望二首（2）,2222121,67
12174,钱起,卷236_46,独往覆釜山，寄郎士元,1303312,81
12175,钱起,卷236_47,送王季友赴洪州幕下,10010,3
12176,钱起,卷236_48,客舍赠郑贲,1021000,4
12177,钱起,卷236_49,山中春仲寄汝上王恒、颍川沈冲（一作中）,1203312,52
12178,钱起,卷236_50,南中春意,2010211,48
12179,钱起,卷236_51,东陵药堂寄张道士,5101202,101
12180,钱起,卷236_52,苦雨忆皇甫冉,500111,52
12181,钱起,卷236_53,寄任山人,2221101,82
12182,钱起,卷236_54,登秦岭半岩遇雨,2201223,4
12183,钱起,卷236_55,杪秋南山西峰题准上人兰若,1203212,83
12184,钱起,卷236_56,田园雨后赠邻人,1301101,36
12185,钱起,卷236_57,天门谷题孙逸人石壁,1200200,4
12186,钱起,卷236_58,蓝溪休沐，寄赵八给事,2112103,14
12187,钱起,卷236_59,游辋川至南山，寄谷口王十六,132114,26
12188,钱起,卷236_60,蓝田溪与渔者宿,1212111,65
12189,钱起,卷236_61,淮上别范大,230010,35
12190,钱起,卷236_62,离居夜雨，奉寄李京兆,401011,90
12191,钱起,卷236_63,叹毕少府以持法无隐见系,300002,101
12192,钱起,卷236_64,小园招隐,2210000,90
12193,钱起,卷236_65,过温逸人旧居,3111102,76
12194,钱起,卷236_66,县内水亭晨兴听讼,401010,22
12195,钱起,卷236_67,海畔秋思,1200021,15
12196,钱起,卷236_68,太子李舍人城东别业（李祭酒别业俯视川林前带雷岫）,4102314,62
12197,钱起,卷236_69,谷口新居寄同省朋故,201312,65
12198,钱起,卷236_70,京兆尹厅前甘棠树降甘露,2000000,3
12199,钱起,卷236_71,秋夜作,322122,73
12200,钱起,卷236_72,观村人牧山田,201113,98
12201,钱起,卷236_73,裴侍郎湘川回，以青竹筒相遗，因而赠之,4100201,26
12202,钱起,卷236_74,东城初陷，与薛员外、王补阙暝投南山佛寺,112212,13
12203,钱起,卷236_75,奉和张荆州巡农晚望,3322314,51
12204,钱起,卷236_76,送包何东游,231722,3
12205,钱起,卷236_77,酬陶六辞秩归旧居见柬,302114,4
12206,钱起,卷236_78,奉使采箭簳竹谷中晨兴赴岭,1104442,94
12207,钱起,卷236_79,同严逸人东溪泛舟,220302,81
12208,钱起,卷236_80,过沈氏山居,2021204,89
12209,钱起,卷236_81,赠柏岩老人,2312113,54
12210,钱起,卷236_82,送薛判官赴蜀,1143111,97
12211,钱起,卷236_83,诏许昌崔明府拜补阙,5112110,15
12212,钱起,卷236_84,仲春晚寻覆釜山,2312104,45
12213,钱起,卷236_85,赠东邻郑少府,413023,54
12214,钱起,卷236_86,谢张法曹万顷小山暇景见忆,3211212,26
12215,钱起,卷236_87,罢章陵令山居过中峰道者二首（1）,2212112,76
12216,钱起,卷236_87,罢章陵令山居过中峰道者二首（2）,1001103,42
12217,钱起,卷236_88,登覆釜山遇道人二首（1）,2211104,84
12218,钱起,卷236_88,登覆釜山遇道人二首（2）,3111102,25
12219,钱起,卷236_89,寻华山云台观道士,6311101,99
12220,钱起,卷236_90,海上卧病寄王临,4221210,95
12221,钱起,卷236_91,登玉山诸峰，偶至悟真寺,2312112,97
12222,钱起,卷236_92,长安客舍，赠李行父明府,2211101,13
12223,钱起,卷236_93,美杨侍御清文见示,2313110,89
12224,钱起,卷236_94,山居新种花药，与道士同游赋诗,3501306,3
12225,钱起,卷236_95,初黄绶赴蓝田县作,102306,12
12226,钱起,卷236_96,归义寺题震上人壁（寺即神尧皇帝读书之所）,5302425,35
12227,钱起,卷237_1,奉和圣制登会昌山应制（一作赵起诗）,3100001,3
12228,钱起,卷237_2,省中对雪寄元判官、拾遗昆季（一作寄谢舍人昆季）,213122,15
12229,钱起,卷237_3,山斋独坐，喜玄上人夕至（一作见访）,1103423,9
12230,钱起,卷237_4,秋夜寄张、韦二主簿,1201010,5
12231,钱起,卷237_5,归故山路逢邻居隐者,211022,0
12232,钱起,卷237_6,落第，刘拾遗相送东归,221104,4
12233,钱起,卷237_7,和刘七读书,2300010,15
12234,钱起,卷237_8,早下江宁,632312,22
12235,钱起,卷237_9,登复州南楼,312302,20
12236,钱起,卷237_10,江陵晦日陪诸官泛舟,343433,10
12237,钱起,卷237_11,县城秋夕,323126,4
12238,钱起,卷237_12,秋夜梁七兵曹同宿二首（1）,222112,4
12239,钱起,卷237_12,秋夜梁七兵曹同宿二首（2）,1243022,11
12240,钱起,卷237_13,和万年成少府寓直,1302120,9
12241,钱起,卷237_14,春夜过长孙绎别业,202313,26
12242,钱起,卷237_15,题温处士山居,211001,10
12243,钱起,卷237_16,题陈季壁,100202,26
12244,钱起,卷237_17,赠邻居齐六司仓,3,3
12245,钱起,卷237_18,送征雁,302010,22
12246,钱起,卷237_19,宴郁林观张道士房,2302211,22
12247,钱起,卷237_20,秋夕与梁锽文宴,302011,3
12248,钱起,卷237_21,哭空寂寺玄上人（一作少林寺哭晖上人）,1001100,21
12249,钱起,卷237_22,题精舍寺,2101201,22
12250,钱起,卷237_23,开元观遇张侍御,100,1
12251,钱起,卷237_24,和人秋归终南山别业,1101201,26
12252,钱起,卷237_25,故相国苗公挽歌,321010,19
12253,钱起,卷237_26,酬刘员外雨中见寄,1410100,4
12254,钱起,卷237_27,赋得归云送李山人归华山,2000000,1
12255,钱起,卷237_28,过裴长官新亭,200304,3
12256,钱起,卷237_29,寄郢州郎士元使君,2231211,4
12257,钱起,卷237_30,过长孙宅与朗上人茶会,2100102,20
12258,钱起,卷237_31,下第题长安客舍,501001,4
12259,钱起,卷237_32,陪考功王员外城东池亭宴,1001302,21
12260,钱起,卷237_33,过孙员外蓝田山居,211303,14
12261,钱起,卷237_34,秋园晚沐,1201002,26
12262,钱起,卷237_35,穷秋对雨,1311120,9
12263,钱起,卷237_36,裴迪南门秋夜对月（一作裴迪书斋玩月之作）,422011,25
12264,钱起,卷237_37,和蜀县段明府秋城望归期,1222131,16
12265,钱起,卷237_38,晚归蓝田，酬王维给事（一作中书常舍人）赠别,1103122,4
12266,钱起,卷237_39,再得华侍御书，闻巴中卧病（一作疾）,300001,10
12267,钱起,卷237_40,宿新里馆,610111,7
12268,钱起,卷237_41,谷口书斋寄杨补阙,1401203,3
12269,钱起,卷237_42,衡门春夜,401021,10
12270,钱起,卷237_43,题吴通微主人,100101,8
12271,钱起,卷237_44,晚次宿预馆,1310120,1
12272,钱起,卷237_45,蓝上茅茨期王维补阙,2111202,19
12273,钱起,卷237_46,春宵寓直,1300001,7
12274,钱起,卷237_47,新昌里言怀,1302114,4
12275,钱起,卷237_48,秋夜寄袁中丞、王员外,411210,18
12276,钱起,卷237_49,九日闲居寄登高数子,1310002,25
12277,钱起,卷237_50,晚入宣城界（一作春江晚行）,3411202,26
12278,钱起,卷237_51,静夜酬通上人问疾,202111,21
12279,钱起,卷237_52,奉陪使君十四叔晚憩大云门寺,10102,19
12280,钱起,卷237_53,省中春暮酬嵩阳焦道士见招,1210002,26
12281,钱起,卷237_54,酬苗发员外宿龙池寺见寄,1111010,1
12282,钱起,卷237_55,贞懿皇后挽词,203121,9
12283,钱起,卷237_56,岁初归旧山（又作献岁初归旧居酬皇甫侍御见寄）,2222102,14
12284,钱起,卷237_57,銮驾避狄岁寄别韩云卿,1222111,3
12285,钱起,卷237_58,咏白油帽送客,2210000,10
12286,钱起,卷237_59,蓝上采石芥寄前李明府,1402102,5
12287,钱起,卷237_60,送赟法师往上都,323021,15
12288,钱起,卷237_61,送沈少府还江宁,2232601,15
12289,钱起,卷237_62,送虞说擢第东游,333322,22
12290,钱起,卷237_63,送少微师西行（一作送僧自吴游蜀）,1022101,26
12291,钱起,卷237_64,送昆山孙少府,1110200,16
12292,钱起,卷237_65,送屈突司马充安西书记,102110,5
12293,钱起,卷237_66,送时暹避难适荆南,1320000,22
12294,钱起,卷237_67,送边补阙东归省觐,330102,4
12295,钱起,卷237_68,送弹琴李长史往洪州,211201,15
12296,钱起,卷237_69,送宋征君让官还山,1331124,15
12297,钱起,卷237_70,送陈供奉恩敕放归觐省,112201,14
12298,钱起,卷237_71,送外甥范勉赴任常州长史兼觐省,210102,25
12299,钱起,卷237_72,陇右送韦三还京,1333101,14
12300,钱起,卷237_73,送元评事归山居,222408,4
12301,钱起,卷237_74,送武进韦明府,120102,21
12302,钱起,卷237_75,送上官侍御,1201002,3
12303,钱起,卷237_76,送郭秀才制举下第南游,43201,22
12304,钱起,卷237_77,送夏侯审校书东归,1301203,14
12305,钱起,卷237_78,送卫功曹赴荆南,322243,22
12306,钱起,卷237_79,送马使君赴郑州,111112,15
12307,钱起,卷237_80,送郎四补阙东归,130002,10
12308,钱起,卷237_81,送陆三出尉,3210102,11
12309,钱起,卷237_82,送安都秀才北还,1223131,14
12310,钱起,卷237_83,送褚十一澡擢第归吴觐省,1001303,21
12311,钱起,卷237_84,送费秀才归衡州,200203,20
12312,钱起,卷237_85,送陆郎中,443022,19
12313,钱起,卷237_86,送僧归日本,1221221,22
12314,钱起,卷237_87,送杨皞擢第游江南,342223,3
12315,钱起,卷237_88,送田仓曹归觐,422020,22
12316,钱起,卷237_89,送张管书记（一作送张管记从军）,113100,3
12317,钱起,卷237_90,送萧常侍北使,133120,19
12318,钱起,卷237_91,送李栖桐道举擢第还乡省侍,2133202,14
12319,钱起,卷237_92,送柳道士,2210102,20
12320,钱起,卷237_93,送陆珽侍御使新罗,1222020,10
12321,钱起,卷237_94,重送陆侍御使日本,1321131,25
12322,钱起,卷237_95,送陆贽擢第还苏州,1141010,22
12323,钱起,卷237_96,送虞说擢第南归觐省,222405,14
12324,钱起,卷237_97,送原公南游,220001,21
12325,钱起,卷237_98,送万兵曹赴广陵,332222,3
12326,钱起,卷237_99,送李判官赴桂州幕,2210201,25
12327,钱起,卷237_100,题苏公林亭,320101,3
12328,钱起,卷237_101,赋得寒云轻重色，送子恂入京,2000000,26
12329,钱起,卷237_102,赋得丛兰曙后色，送梁侍御入京,200102,0
12330,钱起,卷237_103,赋得馀冰（一本题下有送人二字）,111100,10
12331,钱起,卷237_104,赋得浦口望斜月，送皇甫判官,333313,20
12332,钱起,卷237_105,赋得绵绵思远道，送岑判官入岭,332311,23
12333,钱起,卷237_106,江宁春夜裴使君席送萧员外,311111,5
12334,钱起,卷237_107,送薛八谪居,120101,15
12335,钱起,卷237_108,送衡阳归客,222221,21
12336,钱起,卷237_109,送员外侍御入朝,1021110,22
12337,钱起,卷237_110,送李谏议归荆州,321221,25
12338,钱起,卷237_111,送元中丞江淮转运（一作王维诗）,110000,10
12339,钱起,卷237_112,送唐别驾赴郢州,332313,22
12340,钱起,卷237_113,送郑巨及第后归觐,240102,22
12341,钱起,卷237_114,宿远上人兰若,2212213,26
12342,钱起,卷237_115,酬元秘书晚出蓝溪见寄,11111,3
12343,钱起,卷237_116,别张起居（时多故）,1122112,26
12344,钱起,卷237_117,郭司徒厅夜宴,432021,13
12345,钱起,卷237_118,初至京口示诸弟,1,12
12346,钱起,卷237_119,月下洗药,201011,21
12347,钱起,卷237_120,晚春永宁墅小园独坐，寄上王相公,1410103,25
12348,钱起,卷237_121,岁暇题茅茨,1111103,26
12349,钱起,卷237_122,九日登玉山,1111304,25
12350,钱起,卷237_123,宴崔驸马玉山别业,1221213,10
12351,钱起,卷237_124,春谷幽居,2202202,26
12352,钱起,卷237_125,赋得池上双丁香树,1300102,25
12353,钱起,卷237_126,题樊川杜相公别业,300205,20
12354,钱起,卷237_127,酬卢十一过宿,100001,26
12355,钱起,卷237_128,崔十四宅问候,123313,7
12356,钱起,卷237_129,山路见梅，感而有作,21304,9
12357,钱起,卷237_130,咏门上画松，上元、王、杜三相公（一作崔峒诗）,1000001,13
12358,钱起,卷237_131,早发东阳,201303,16
12359,钱起,卷237_132,舟中寄李起居,123314,14
12360,钱起,卷237_133,夜雨寄寇校书,321120,26
12361,钱起,卷237_134,喜李侍御拜郎官入省,1211111,3
12362,钱起,卷237_135,苏端林亭对酒喜雨,110000,19
12363,钱起,卷237_136,见上林春雁翔青云，寄杨起居、李员外,300101,4
12364,钱起,卷237_137,偶成,1301010,0
12365,钱起,卷237_138,渔潭值雨,111102,14
12366,钱起,卷237_139,题萧丞小池,300102,3
12367,钱起,卷238_1,送集贤崔八叔承恩括图书,121001,5
12368,钱起,卷238_2,送张五员外东归楚州,111403,3
12369,钱起,卷238_3,闲居寄包何,1101100,21
12370,钱起,卷238_4,津梁寺寻李侍御,101111,21
12371,钱起,卷238_5,山园秋晚寄杜黄裳少府,122203,14
12372,钱起,卷238_6,东溪杜野人致酒,202213,5
12373,钱起,卷238_7,忆山中寄旧友,1201011,4
12374,钱起,卷238_8,东皋早春寄郎四校书,2202302,17
12375,钱起,卷238_9,玉山东溪题李叟屋壁,1001212,25
12376,钱起,卷238_10,温泉宫礼见,3012202,15
12377,钱起,卷238_11,游襄阳泉石晚归,1121201,21
12378,钱起,卷238_12,夏日陪史郎中宴杜郎中果园,2413222,22
12379,钱起,卷238_13,南溪春耕,1200001,9
12380,钱起,卷238_14,省试湘灵鼓瑟,1110311,23
12381,钱起,卷238_15,观法驾自凤翔回,3213122,9
12382,钱起,卷238_16,题玉山村叟屋壁,1101204,26
12383,钱起,卷238_17,县中池竹言怀,2212203,10
12384,钱起,卷238_18,山园栖隐,201111,3
12385,钱起,卷238_19,送王谏议任东都居守,1403251,0
12386,钱起,卷238_20,送郑书记,2131121,22
12387,钱起,卷238_21,送族侄赴任（一作之郡）,222113,15
12388,钱起,卷238_22,长安落第作,1311111,19
12389,钱起,卷238_23,酬长孙绎蓝溪寄杏,1300102,15
12390,钱起,卷238_24,药堂秋暮,4002202,1
12391,钱起,卷238_25,哭常征君,4111314,11
12392,钱起,卷238_26,送鲍中丞赴太原军营,2137020,22
12393,钱起,卷238_27,奉送刘相公江淮催转运,534423,25
12394,钱起,卷238_28,送李秀才落第游荆楚,1322511,11
12395,钱起,卷238_29,奉陪郭常侍宴浐川山池,2321313,21
12396,钱起,卷238_30,寇中送张司马归洛,1441201,15
12397,钱起,卷238_31,奉和宣城张太守南亭秋夕怀友,634531,22
12398,钱起,卷238_32,过山人所居因寄诸遗补,3110002,26
12399,钱起,卷238_33,过鸣皋隐者,1311014,15
12400,钱起,卷238_34,送杨錥归隐,201103,3
12401,钱起,卷238_35,酬刘起居卧病见寄,3010100,3
12402,钱起,卷238_36,陪南省诸公宴殿中李监宅,1220101,3
12403,钱起,卷238_37,山斋读书寄时校书杜叟,1401101,6
12404,钱起,卷238_38,晚归蓝田旧居,211103,7
12405,钱起,卷238_39,寄袁州李嘉祐员外,442522,15
12406,钱起,卷238_40,禁闱玩雪寄薛左丞,3303030,25
12407,钱起,卷238_41,春暮过石龟谷题温处士林园（一作送温逸人）,3001103,26
12408,钱起,卷238_42,宿毕侍御宅,400201,0
12409,钱起,卷238_43,中书遇雨,2301010,9
12410,钱起,卷238_44,适楚次徐城,1552132,22
12411,钱起,卷238_45,经李蒙颍阳旧居,3103213,12
12412,钱起,卷238_46,赠汉阳隐者,1110100,10
12413,钱起,卷238_47,巨鱼纵大壑,2110100,3
12414,钱起,卷238_48,送李九归河北,242021,22
12415,钱起,卷238_49,送丁著作佐台郡,1211213,10
12416,钱起,卷238_50,送王使君赴太原行营,1114321,19
12417,钱起,卷238_51,送王使君移镇淮南,231000,10
12418,钱起,卷238_52,李四劝为尉氏尉，李七勉为开封尉（惟伯与仲有令誉）,3210312,15
12419,钱起,卷238_53,春夜宴任六昆季宅,2201012,26
12420,钱起,卷238_54,闲居酬张起居见赠,111202,11
12421,钱起,卷238_55,奉和王相公秋日戏赠元校书,1301202,3
12422,钱起,卷238_56,过杨驸马亭子,424252,22
12423,钱起,卷238_57,山下别杜少府,321203,7
12424,钱起,卷238_58,晚出青门望终南别业,1101202,5
12425,钱起,卷238_59,送严士良侍奉詹事南游,612324,10
12426,钱起,卷238_60,题秘书王迪城北池亭,2614071,26
12427,钱起,卷238_61,过王舍人宅,3323033,5
12428,钱起,卷238_62,过瑞龙观道士,7001104,15
12429,钱起,卷238_63,送沈仲,1023143,3
12430,钱起,卷238_64,和韦侍御寓直对雨,1401112,7
12431,钱起,卷238_65,奉和圣制登朝元阁,7035121,22
12432,钱起,卷238_66,奉和杜相公移长兴宅，奉呈元相公,4110111,26
12433,钱起,卷238_67,送任先生任唐山丞,2010301,3
12434,钱起,卷238_68,送外甥怀素上人归乡侍奉,1122002,3
12435,钱起,卷238_69,送张中丞赴桂州,425130,22
12436,钱起,卷238_70,送王相公赴范阳,1424120,22
12437,钱起,卷238_71,送蒋尚书居守东都,2323242,22
12438,钱起,卷238_72,送李兵曹赴河中,2223110,22
12439,钱起,卷238_73,罢官后酬元校书见赠,2411133,5
12440,钱起,卷238_74,同邬戴关中旅寓,703320,0
12441,钱起,卷238_75,新丰主人,2430212,25
12442,钱起,卷238_76,夕游覆釜山道士观因登玄元庙,3212211,21
12443,钱起,卷238_77,陪郭常侍令公东亭宴集,1412212,22
12444,钱起,卷238_78,太子李舍人城东别业与二三文友逃暑,2211121,21
12445,钱起,卷238_79,柏崖老人号无名先生男削发女黄冠自以云泉独乐命予赋诗,2303123,21
12446,钱起,卷238_80,赠李十六,300224,22
12447,钱起,卷238_81,裴仆射东亭,2232405,14
12448,钱起,卷238_82,中书王舍人辋川旧居,1300303,13
12449,钱起,卷238_83,送襄阳卢判官奏开河事,2423482,0
12450,钱起,卷238_84,奉送户部李郎中充晋国副节度出塞,3236233,15
12451,钱起,卷238_85,奉和中书常舍人晚秋集贤院即事寄徐薛二侍御,1624150,5
12452,钱起,卷238_86,和范郎中宿直中书，晓玩清池，赠南省同僚两垣遗补,6201211,26
12453,钱起,卷239_1,同程九早入中书（一作钱珝诗）,202021,3
12454,钱起,卷239_2,仲春宴王补阙城东小池,1321304,19
12455,钱起,卷239_3,夜宿灵台寺寄郎士元,302223,0
12456,钱起,卷239_4,题郎士元半日吴村别业，兼呈李长官,503214,20
12457,钱起,卷239_5,猷川雪后送僧粲临还京，时避世卧疾,1012202,1
12458,钱起,卷239_6,和李员外扈驾幸温泉宫,3204232,1
12459,钱起,卷239_7,长信怨,1421020,25
12460,钱起,卷239_8,送河南陆少府,2221010,3
12461,钱起,卷239_9,送李评事赴潭州使幕,212311,22
12462,钱起,卷239_10,送李九贬南阳,2322201,13
12463,钱起,卷239_11,送裴頔侍御使蜀,1211112,21
12464,钱起,卷239_12,送韦信爱子归觐,331503,4
12465,钱起,卷239_13,送兴平王少府游梁,444331,10
12466,钱起,卷239_14,送张员外出牧岳州,1321010,10
12467,钱起,卷239_15,送孙十尉温县,2120101,16
12468,钱起,卷239_16,送钟评事应宏词下第东归,432131,0
12469,钱起,卷239_17,送严维尉河南,1321111,3
12470,钱起,卷239_18,送马员外拜官觐省,1104030,11
12471,钱起,卷239_19,送冷朝阳擢第后归金陵觐省,2212313,1
12472,钱起,卷239_20,九日宴浙江西亭,1310203,2
12473,钱起,卷239_21,和王员外雪晴早朝,1313022,21
12474,钱起,卷239_22,避暑纳凉,201022,21
12475,钱起,卷239_23,早夏,1312011,19
12476,钱起,卷239_24,题嵩阳焦道士石壁,3200012,15
12477,钱起,卷239_25,题延州圣僧穴,102112,24
12478,钱起,卷239_26,乐游原晴望上中书李侍郎,1401102,22
12479,钱起,卷239_27,幽居春暮书怀（一作石门暮春，一作蓝田春暮）,3401102,13
12480,钱起,卷239_28,谒许由庙,101202,25
12481,钱起,卷239_29,过张成侍御宅,121102,10
12482,钱起,卷239_30,酬考功杨员外见赠佳句(黄卷读来今已老白头受屈不曾言),4000031,15
12483,钱起,卷239_31,寄永嘉王十二,301101,15
12484,钱起,卷239_32,七盘岭阻寇闻李端公先到南楚,212432,26
12485,钱起,卷239_33,酬赵给事相寻不遇留赠,310112,9
12486,钱起,卷239_34,山中酬杨补阙见过,111102,106
12487,钱起,卷239_29,同王錥起居程浩郎中韩翃舍人题安国寺用上人院,210001,0
12488,钱起,卷239_30,寻司勋李郎中不遇,410112,21
12489,钱起,卷239_31,赠张南史,2121401,25
12490,钱起,卷239_32,暇日览旧诗因以题咏,123111,14
12491,钱起,卷239_33,汉武出猎,2001021,1
12492,钱起,卷239_34,宴曹王宅,2512021,5
12493,钱起,卷239_35,重赠赵给事,100112,18
12494,钱起,卷239_36,赠阙下裴舍人,4514031,26
12495,钱起,卷239_37,登刘宾客高斋（时公初退相，一作春题刘相公山斋）,1313125,20
12496,钱起,卷239_38,哭辛霁,1311213,3
12497,钱起,卷239_39,和慕容法曹寻渔者寄城中故人,1000,3
12498,钱起,卷239_40,山花,232102,7
12499,钱起,卷239_41,送杨著作归东海,1152101,3
12500,钱起,卷239_42,送李协律还东京,1323112,14
12501,钱起,卷239_43,秋馆言怀,1211120,3
12502,钱起,卷239_44,和刘明府宴县前山亭,113112,9
12503,钱起,卷239_45,新雨喜得王卿书问,1601011,9
12504,钱起,卷239_46,赋得巢燕送客,411011,11
12505,钱起,卷239_47,题张蓝田讼堂,313111,14
12506,钱起,卷239_48,江行无题一百首（一作钱珝诗）（1）,10001,3
12507,钱起,卷239_48,江行无题一百首（一作钱珝诗）（2）,22211,10
12508,钱起,卷239_48,江行无题一百首（一作钱珝诗）（3）,110000,10
12509,钱起,卷239_48,江行无题一百首（一作钱珝诗）（4）,1012020,3
12510,钱起,卷239_48,江行无题一百首（一作钱珝诗）（5）,111111,25
12511,钱起,卷239_48,江行无题一百首（一作钱珝诗）（6）,1000100,3
12512,钱起,卷239_48,江行无题一百首（一作钱珝诗）（7）,1200010,26
12513,钱起,卷239_48,江行无题一百首（一作钱珝诗）（8）,210201,3
12514,钱起,卷239_48,江行无题一百首（一作钱珝诗）（9）,221000,21
12515,钱起,卷239_48,江行无题一百首（一作钱珝诗）（10）,10100,21
12516,钱起,卷239_48,江行无题一百首（一作钱珝诗）（11）,111110,26
12517,钱起,卷239_48,江行无题一百首（一作钱珝诗）（12）,10200,10
12518,钱起,卷239_48,江行无题一百首（一作钱珝诗）（13）,100001,3
12519,钱起,卷239_48,江行无题一百首（一作钱珝诗）（14）,211301,2
12520,钱起,卷239_48,江行无题一百首（一作钱珝诗）（15）,121200,21
12521,钱起,卷239_48,江行无题一百首（一作钱珝诗）（16）,10100,22
12522,钱起,卷239_48,江行无题一百首（一作钱珝诗）（17）,100200,22
12523,钱起,卷239_48,江行无题一百首（一作钱珝诗）（18）,202201,12
12524,钱起,卷239_48,江行无题一百首（一作钱珝诗）（19）,100,3
12525,钱起,卷239_48,江行无题一百首（一作钱珝诗）（20）,0,10
12526,钱起,卷239_48,江行无题一百首（一作钱珝诗）（21）,1100101,18
12527,钱起,卷239_48,江行无题一百首（一作钱珝诗）（22）,10100,9
12528,钱起,卷239_48,江行无题一百首（一作钱珝诗）（23）,100000,0
12529,钱起,卷239_48,江行无题一百首（一作钱珝诗）（24）,310200,4
12530,钱起,卷239_48,江行无题一百首（一作钱珝诗）（25）,11312,23
12531,钱起,卷239_48,江行无题一百首（一作钱珝诗）（26）,11110,7
12532,钱起,卷239_48,江行无题一百首（一作钱珝诗）（27）,101120,4
12533,钱起,卷239_48,江行无题一百首（一作钱珝诗）（28）,221110,26
12534,钱起,卷239_48,江行无题一百首（一作钱珝诗）（29）,1000000,19
12535,钱起,卷239_48,江行无题一百首（一作钱珝诗）（30）,1000110,5
12536,钱起,卷239_48,江行无题一百首（一作钱珝诗）（31）,10111,15
12537,钱起,卷239_48,江行无题一百首（一作钱珝诗）（32）,100100,5
12538,钱起,卷239_48,江行无题一百首（一作钱珝诗）（33）,10202,15
12539,钱起,卷239_48,江行无题一百首（一作钱珝诗）（34）,110100,22
12540,钱起,卷239_48,江行无题一百首（一作钱珝诗）（35）,200,6
12541,钱起,卷239_48,江行无题一百首（一作钱珝诗）（36）,101101,23
12542,钱起,卷239_48,江行无题一百首（一作钱珝诗）（37）,101121,21
12543,钱起,卷239_48,江行无题一百首（一作钱珝诗）（38）,100100,26
12544,钱起,卷239_48,江行无题一百首（一作钱珝诗）（39）,100,25
12545,钱起,卷239_48,江行无题一百首（一作钱珝诗）（40）,200000,26
12546,钱起,卷239_48,江行无题一百首（一作钱珝诗）（41）,212201,15
12547,钱起,卷239_48,江行无题一百首（一作钱珝诗）（42）,21112,3
12548,钱起,卷239_48,江行无题一百首（一作钱珝诗）（43）,111011,20
12549,钱起,卷239_48,江行无题一百首（一作钱珝诗）（44）,101010,22
12550,钱起,卷239_48,江行无题一百首（一作钱珝诗）（45）,101,21
12551,钱起,卷239_48,江行无题一百首（一作钱珝诗）（46）,101010,20
12552,钱起,卷239_48,江行无题一百首（一作钱珝诗）（47）,1000100,19
12553,钱起,卷239_48,江行无题一百首（一作钱珝诗）（48）,1101010,26
12554,钱起,卷239_48,江行无题一百首（一作钱珝诗）（49）,200001,25
12555,钱起,卷239_48,江行无题一百首（一作钱珝诗）（50）,10000,0
12556,钱起,卷239_48,江行无题一百首（一作钱珝诗）（51）,0,21
12557,钱起,卷239_48,江行无题一百首（一作钱珝诗）（52）,101210,4
